board	branch	exposure	status	fdt_bytes	fit_created	streamed_compressed_bytes	sha256	image	alias
nanopct6-lts	vendor	affected-itb-target	CLEAN	14059	Sun May 24 00:58:45 2026	12730368	9b50a1c28e64edd1781970614a028b5564d7e77ee8314de339503bdfef6f3dbb	Armbian_26.5.1_Nanopct6-lts_resolute_vendor_6.1.115_gnome_desktop.img.xz	nanopct6-lts/Resolute_vendor_gnome
nanopct6-lts	vendor	affected-itb-target	CLEAN	14059	Sun May 24 00:58:45 2026	12713984	669f9f2541c55a9a2d92e387da41a95fc98b83f752858cf3c85d4bbf0e1f3d45	Armbian_26.5.1_Nanopct6-lts_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	nanopct6-lts/Resolute_vendor_kde-plasma
nanopct6-lts	vendor	affected-itb-target	CLEAN	14059	Sun May 24 00:58:45 2026	12730368	2dbc10102ba3ae4e1666d77ba436fd369b0a84efbee0378a8e42f13d190de825	Armbian_26.5.1_Nanopct6-lts_resolute_vendor_6.1.115_minimal.img.xz	nanopct6-lts/Resolute_vendor_minimal
nanopct6-lts	vendor	affected-itb-target	BROKEN	-	Mon Feb  9 20:41:55 2026	12983680	c5a33011fbd13f585a171d592c06b2baa68c843c8051871d3e784c9a68a980fd	Armbian_26.2.1_Nanopct6-lts_sid_vendor_6.1.115-kali.img.xz	nanopct6-lts/Sid_vendor_server-kali
nanopct6-lts	vendor	affected-itb-target	CLEAN	14059	Sun May 24 00:58:45 2026	12730368	af15d32991877d92e0136623eb3e1ec343b956a1918fe1022fd687d8a6645514	Armbian_26.5.1_Nanopct6-lts_trixie_vendor_6.1.115_minimal.img.xz	nanopct6-lts/Trixie_vendor_minimal
nanopct6-lts	vendor	affected-itb-target	BROKEN	-	Mon Feb  9 20:41:55 2026	12959744	e4bd48637cea69c73220b227d70b076a908e4636f0eb1c47d88a175ee8a8b798	Armbian_26.2.1_Nanopct6-lts_trixie_vendor_6.1.115-omv_minimal.img.xz	nanopct6-lts/Trixie_vendor_minimal-omv
nanopct6-lts	vendor	affected-itb-target	BROKEN	-	Mon Feb  9 20:41:55 2026	13155602	9da0cdc2c03fa4f06d1858c121c1ea283158eb51af91cb7effde187dc922c4ed	Armbian_26.2.1_Nanopct6-lts_trixie_vendor_6.1.115-homeassistant.img.xz	nanopct6-lts/Trixie_vendor_server-homeassistant
nanopct6-lts	vendor	affected-itb-target	BROKEN	-	Mon Feb  9 20:41:55 2026	12860695	76c92ee24ec8f0a2a184ae347460f0b4f48a7269ed9d8a32fde7bc77938cedd0	Armbian_26.2.1_Nanopct6-lts_trixie_vendor_6.1.115-openhab.img.xz	nanopct6-lts/Trixie_vendor_server-openhab
nanopct6-lts	vendor	affected-itb-target	CLEAN	14059	Sun Jul 12 23:36:20 2026	12894208	6f979b3fa6a2ab1ef9b53c21fb12adbc365f09968df6bca1b43191abb855ec6f	Armbian_26.8.0-trunk.400_Nanopct6-lts_forky_vendor_6.1.115_minimal.img.xz	nightly/nanopct6-lts/Forky_vendor_minimal
nanopct6-lts	vendor	affected-itb-target	CLEAN	14059	Sun Jul 12 23:36:20 2026	12860677	f841751073a5c1a5fb1f1ac3239e33b1484091f79f23a13d4a60c41b7c7a6b82	Armbian_26.8.0-trunk.400_Nanopct6-lts_resolute_vendor_6.1.115_gnome_desktop.img.xz	nightly/nanopct6-lts/Resolute_vendor_gnome
