board	branch	image_links	boot_source	boot_branch	boot_patch_dir	target_kind	scope
mekotronics-r58x	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.03	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
mixtile-blade3	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.03	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
mixtile-core3588e	edge	3	https://github.com/u-boot/u-boot.git	tag:v2026.01	v2026.01	u-boot-rockchip.bin	other-u-boot-source
mixtile-core3588e	vendor	3	https://github.com/u-boot/u-boot.git	tag:v2026.01	v2026.01	u-boot-rockchip.bin	other-u-boot-source
mixtile-edge2	current	3	https://github.com/u-boot/u-boot.git	tag:v2026.07	v2026.07/board_mixtile-edge2	u-boot-rockchip.bin	other-u-boot-source
mixtile-edge2	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
nanopct6	current	5	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	u-boot-rockchip.bin	other-u-boot-source
nanopct6-lts	current	4	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	u-boot-rockchip.bin	other-u-boot-source
nanopct6-lts	vendor	10	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
nanopct6	vendor	11	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
nanopi-m5	current	4	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	other	other-u-boot-source
nanopi-m5	vendor	10	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	other	other-u-boot-source
nanopi-m6	current	4	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
nanopi-m6	vendor	10	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
nanopi-r3s	current	1	https://github.com/u-boot/u-boot	tag:v2025.04	v2025.04	u-boot-rockchip.bin	other-u-boot-source
nanopi-r3s-lts	current	10	https://github.com/u-boot/u-boot	tag:v2026.04	v2026.04	u-boot-rockchip.bin	other-u-boot-source
nanopi-r6c	current	3	https://github.com/u-boot/u-boot.git	tag:v2026.01	v2026.01	u-boot-rockchip.bin	other-u-boot-source
nanopi-r6c	vendor	3	https://github.com/u-boot/u-boot.git	tag:v2026.01	v2026.01	u-boot-rockchip.bin	other-u-boot-source
nanopi-r6s	current	4	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
nanopi-r6s	vendor	10	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
nanopi-r76s	edge	4	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	other	other-u-boot-source
nanopi-r76s	vendor	10	https://github.com/u-boot/u-boot.git	tag:v2026.04	v2026.04	other	other-u-boot-source
nanopi-zero2	current	1	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
nanopi-zero2	vendor	1	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
odroidm1s	current	3	https://github.com/u-boot/u-boot.git	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
orangepi3b	current	3	https://github.com/u-boot/u-boot.git	tag:v2026.01	v2026.01	u-boot-rockchip.bin	other-u-boot-source
orangepi3b	vendor	3	https://github.com/u-boot/u-boot.git	tag:v2026.01	v2026.01	u-boot-rockchip.bin	other-u-boot-source
